topic,topic_name,model,MAE,RMSE
topic_0,"Topic 0: мужчина, летний, ребёнок",ARIMA,14.454,23.6
topic_0,"Topic 0: мужчина, летний, ребёнок",Naive,14.632,23.777
topic_0,"Topic 0: мужчина, летний, ребёнок",Prophet,11.151,18.596
topic_1,"Topic 1: область, беспилотник, курский",ARIMA,11.965,20.29
topic_1,"Topic 1: область, беспилотник, курский",Naive,12.667,20.96
topic_1,"Topic 1: область, беспилотник, курский",Prophet,9.941,16.259
topic_2,"Topic 2: россия, украина, страна",ARIMA,39.272,58.075
topic_2,"Topic 2: россия, украина, страна",Naive,45.542,63.171
topic_2,"Topic 2: россия, украина, страна",Prophet,29.464,47.631
topic_3,"Topic 3: дело, уголовный, возбудить",ARIMA,9.138,14.926
topic_3,"Topic 3: дело, уголовный, возбудить",Naive,12.717,18.173
topic_3,"Topic 3: дело, уголовный, возбудить",Prophet,8.109,12.284
topic_4,"Topic 4: противник, направление, всу",ARIMA,12.546,18.514
topic_4,"Topic 4: противник, направление, всу",Naive,13.427,20.158
topic_4,"Topic 4: противник, направление, всу",Prophet,11.075,15.972
topic_5,"Topic 5: москва, ожидаться, центр",ARIMA,7.493,11.546
topic_5,"Topic 5: москва, ожидаться, центр",Naive,9.408,13.702
topic_5,"Topic 5: москва, ожидаться, центр",Prophet,7.857,10.183
topic_6,"Topic 6: израиль, удар, израильский",ARIMA,5.198,10.526
topic_6,"Topic 6: израиль, удар, израильский",Naive,5.268,10.582
topic_6,"Topic 6: израиль, удар, израильский",Prophet,7.375,9.776
topic_7,"Topic 7: рубль, тысяча, млн",ARIMA,9.978,15.466
topic_7,"Topic 7: рубль, тысяча, млн",Naive,13.215,18.247
topic_7,"Topic 7: рубль, тысяча, млн",Prophet,7.47,11.563
topic_8,"Topic 8: человек, пострадать, погибнуть",ARIMA,14.558,27.998
topic_8,"Topic 8: человек, пострадать, погибнуть",Naive,17.486,30.185
topic_8,"Topic 8: человек, пострадать, погибнуть",Prophet,12.941,24.446
topic_9,"Topic 9: путин, президент, владимир",ARIMA,8.074,16.138
topic_9,"Topic 9: путин, президент, владимир",Naive,8.224,16.481
topic_9,"Topic 9: путин, президент, владимир",Prophet,7.617,15.256
