model_name,topic,topic_name,top_words,documents,sample_texts,topic_model
NMF,2,"россия, украина, страна","россия, украина, страна, российский, военный, сша, война, украинский, зеленский, киев",22530,"Дискуссии об ограничении продажи алкоголя в России не ведется, были различные опыты, которые легко поддаются анализу, сообщил Песков || Необходимости в новой волне мобилизации из-за ухода ЧВК «Вагнер» из зоны боевых действий нет и в ближайшем будущем не будет — глава комитета Госдумы по обороне Картаполов/ТАСС || В Верховную раду Украины на следующей неделе планируется внести законопроект о мобилизации осужденных и заключенных
— министр юстиции Малюська
ВПШ
🐍 || Товарищи Майоры, а ведь
в ситуации с подрывом гранат на заседании депутатов в Закарпатье
,  можно сделать, как минимум, два важных вывода. Во-первых, это показатель того, что общество Украины больно, что никто не занимается реабилитацией, а только инструментами психологических операций накачивают ненавистью к русским людям, то есть и к себе тоже. Во-вторых, о чем мы все уже много раз говорили: на Украине по населению разошлось огромное количество оружия, в том числе гранат. Да, с одной стороны, нам это придется решать, если будет реализована программа-максимум. Но есть и обратная сторона медали - все это останется на Украине (очень бедной Украине) если будет мирное соглашение и все это хлынет в Европу, если Украина будет в Евросоюзе. Закарпатье далеко от фронта, но и там есть у людей дома (и в карманах) гранаты. || ❗️
В России зафиксировали массовое отравление собак и кошек кормом Chammy, —
данные Mash
В сухих и мокрых шариках превышено содержание свинца — после еды у животных появилась рвота, диарея и вялость.",NMF
NMF,0,"мужчина, летний, ребёнок","мужчина, летний, ребёнок, полиция, женщина, девушка, дом, рассказать, слово, больница",13615,"🥰
«Познакомились в CSGO , поженились 14-ого июня»
— в кадр Бласта попала пара счастливых молодожён
совет да любовь двум геймерам
❤️ || Ураган Милтон в США «припарковал» счастливчику два Porsche в доме.
В бассейн попали 911 GT3 и Boxster. После того, как уровень воды опустился, парень обнаружил у себя во дворе приятный сюрприз
📢
Прямой эфир - подписаться || Ждем, тихоречане, на Крутой поляне!
Сложно поверить, что еще год назад здесь был пустырь, заросший сорняками. Новая современная спортивно-игровая площадка, выросшая на его месте, стала главным и, пожалуй, единственным местом отдыха для жителей алексеевских планов.
В сентябре 2023-го «весточка» побывала на открытии «Крутой поляны», а 1 июня 2024-го снова наведалась в гости. Зачем? Во-первых, чтобы окунуться в атмосферу детского праздника, а во-вторых, чтобы посмотреть, как продолжает преображаться когда-то заброшенная территория на той стороне города.
- Крутую поляну не узнать – она растет и хорошеет на глазах. Что тут нового? – спрашиваем председателя седьмого микрорайона Дмитрия Кохана.
- Наша площадка – это результат работы группы энтузиастов во главе с Алексеем Ковалевым, руководителем торгового центра «Кормушка». Сами видите, сколько здесь ребятни, от младенцев до подростков, да и их родителям с бабушками и дедушками есть чем заняться.
⬇️
""Тихорецкие вести"" - чтобы знать. || На видео мать Марины – Елена Михайловна. Она уже дала свои первые показания.
Вероятнее всего, женщина действительно не принимала участие в расчленении трупа.
Однако уже 26 июля она узнала, что случилось и сразу же приехала на Невский проспект, где и нашли расчленённое тело рэпера. Со слов самой Елены, обращаться в органы она и не пыталась, потому что боялась за дальнейшую судьбы Марины.
Пока женщина, как и её дочь, остаются свидетелями произошедшего. Дальнейший допрос Марины перенёс в связи с её плохим самочувствием. || Врачи решили перевести Николая Ефремова в другую больницу. Психиатр посоветовал перевести его в соматопсихиатрическое отделение.
По данным «Базы», Николай Ефремов остаётся в тяжёлом состоянии. Однако он сам дышит и находится в сознании. Кроме того, он может шевелить руками и ногами, при этом остаётся в аппарате фиксации тазовой кости.
В понедельник планируется его выписать из реанимации. Однако в связи с его моральным состоянием было принято решение перевести его в другую больницу, где есть соматопсихиатрическое отделение.
Кроме того, ему также может потребоваться ещё несколько операций, однако по ним окончательное решение ещё не принято.",NMF
NMF,8,"человек, пострадать, погибнуть","человек, пострадать, погибнуть, пожар, взрыв, результат, дом, данные, человек погибнуть, предварительный",10701,"Депздрав Москвы обновил список пострадавших, госпитализированных в городские больницы. Всего в нём 76 человек.
🎯
Подписывайся на SHOT || В Харькове авиационная бомба попала в подъезд девятиэтажки, погиб 12-летний мальчик, пострадали 34 человека — глава Харьковской областной военной администрации || Видео с места обрушения строительных лесов на Нахимовском проспекте.
Пострадавших нет. || В Екатеринбурге, предварительно, горит «Уралмашзавод». Площадь пожара уже около 1000 кв.  метров.
Предварительно, загорелся склад с лако-красочными материалами. Информация о пострадавших пока не поступала. || Самолет Piper-PA28 упал рядом с частным домом в Коми, он задел высоковольтные провода.
Всего в самолете была два члена экипажа, он должен был сделать облет вокруг лесов в Усть-Куломе, но задел ЛЭП. Пострадал летчик, пассажир остался без травм. На земле пострадавших нет.",NMF
NMF,5,"москва, ожидаться, центр","москва, ожидаться, центр, москвача, дождь, аэропорт, температура, рейс, градус, центр москва",8377,"Пожар в Российской госбиблиотеке на улице Воздвиженка в центре Москвы.
Очаг был на деревянной обшивке крыши. Сейчас огонь на площади пяти квадратов ликвидирован.
😋
Подписывайся на Mash || Издание Readovka сообщило, что глава медиахолдинга Костылев, с которым произошел несчастный случай, доставлен в больницу в Москву || Собянин: Никаких ограничений на въезд и выезд из города нет.
«Поступает много сообщений о перекрытиях движения на въездах и выездах из города. Эта информация не соответствует действительности. В связи с усилением мер по проведению проверочных мероприятий могут возникать затруднения с движением транспорта. Никаких ограничений на въезд и выезд из города нет», - сказал мэр. || Еще видео из Дубаев
Молнии бьют в небоскребы, затоплены улицы и станции метро, а в одном из крупнейших торговых центров планеты Дубай-молл прорвало трубы, товар тонет в потоках воды, продавцы пытаются спасти что могут
😏
Подписаться на VOBLYA || ❗️
Уровень воды в реке Урал в Оренбурге поднялся до 1143 см — мэр Сергей Салмин
Мэр обратился к жителям ЖК Гранд-парк, поселков им Куйбышева и Солнечный, 23 микрорайона, улиц Уральская, Донгузская, районов Авиагородок и Овчиный городок с призывом срочно эвакуироваться:
«Возьмите с собой документы, лекарства, вещи первой необходимости и немедленно покиньте дома. Положение критическое, не теряйте время!»
На улицах города звучит сирена, передает корреспондент РИА Новости
😏
Подписаться на VOBLYA",NMF
NMF,7,"рубль, тысяча, млн","рубль, тысяча, тысяча рубль, млн, миллион, млн рубль, миллион рубль, доллар, цена, деньга",7393,"Оборудование и коды маркировки в ходе эксперимента по маркировке сладостей предоставят компаниям бесплатно - чтобы не оказать влияния на цену продукции.
Крупнейшая отечественная компания «Объединенные кондитеры» (Красный октябрь, РотФронт, Аленка, Бабаевский, Вдохновение, Коровка) ведет работу с оператором государственной системы ЦРПТ, чтобы маркировка позитивно сказалась на обелении отрасли без влияния на цену, говорится в сообщении компании:
«Наша компания понимает важность целей государственной системы маркировки и необходимость контроля качества продукции для покупателей. Мы ведем работу с оператором ЦРПТ по данному проекту и совместно ищем варианты, чтобы не допустить влияния маркировки на цену кондитерских изделий для потребителей.
Необходимо понимать, что есть дорогие продукты, такие как новогодние подарки, дорогие коробки конфет, где маркировка не окажет существенного влияния на цену. Вместе с тем, есть кондитерские изделия стоимостью меньше 1 рубля за штуку (весовые конфеты, карамель, печенье, вафли) и для такой продукции влияние цены марки 50 копеек + НДС может быть существенно. В целом, мы положительно оцениваем совместную работу с ЦРПТ по решению возникающих вопросов и ищем способы и технологии, чтобы маркировка привела к положительному решению всех задач для государства и потребителей»
.
Эксперимент по маркировке пройдет с 15 декабря 2024 года по 31 августа 2025 года. В него войдут шоколад, конфеты, зефир, пастилу, печенье, желе, мармелад, жевательную резинку и другие виды сладостей.
Подписаться на СМИ || ❗️
Комитет Думы по бюджету и налогам одобрил повышение акциза на сахаросодержащие напитки с 7 до 10 рублей || Минимум 50 тысяч туристов находятся в Крыму, большинство из них приехали на своих автомобилях — глава Общенационального союза индустрии гостеприимства || 90-метровая яхта, ранее принадлежащая Сулейману Керимову, протаранила небольшое судно с пассажирами в турецком Бодруме.
На борту моторной лодки A.MEY находилась команда из примерно десяти человек, в том числе дети. У неё повреждена корма, у суперъяхты Ice — огромная царапина на носу.
Стоимость такой громадины — 150 миллионов долларов. Миллиардер расстался с Ice в 2015 году: продал её сыну президента Экваториальной Гвинеи Теодоро Нгема Обианг Манге.
не айс
❗
Подписывайся на Mash || 🎟️
В российских отелях
появятся
невозвратные тарифы
Это объясняется выгодой в том, что гость сможет получить более низкую стоимость за номер, а гостиница - гарантированное проживание. Туристы при бронировании номера в отеле смогут выбрать возвратный или невозвратный тариф.",NMF
NMF,4,"противник, направление, всу","противник, направление, всу, запорожский, бой, пункт, позиция, запорожский направление, подразделение, враг",7338,"👼
🪂
Под Лобковом, Запорожское направление, уничтожили противника вместе с техникой.
Противник пытается эвакуировать раненых, трупы и подбитое железо, но наша арта и пехота давит их.
На связи Атлет.
Архангел Спецназа. Подписаться. || 👼
🪂
Практически каждый день на фронте случаются потери или ранения. Казалось бы, это должно демотивировать и выбить из строя. Но,
мы не имеем права быть слабыми
, хотя бы ради тех, кто погиб, кто тяжело ранен, проходит реабилитацию или остался инвалидом.
Каждая такая потеря - это
наша личная трагедия
.
Сегодня, после плохих новостей, наши «Крылатые Архангелы» собрались и выполнили боевую задачу.
Скопление техники и личного состава - деактивировано. Надеемся, там были укровояки, которые в этот момент воевали в комментариях.
Архангел Спецназа. Подписаться. || В районе Павловска в Воронежской области идёт стрелковый бой, весь платный участок трассы М4 закрыт, на нём колонна военной техники, в том числе танки, на трассе горит фура — «Военный Осведомитель» со ссылкой на читателей || 👼
Запорожское направление, выше н.п.Жеребянки, наши выбили противника с позиций и закрепились в лесополосе. Идут жестокие бои, наши держатся.
Архангел Спецназа. Подписаться. || ПОДЪЕМ!
Всем доброе утро.
Не забудьте про УФЗ",NMF
NMF,3,"дело, уголовный, возбудить","дело, уголовный, уголовный дело, возбудить, задержать, суд, возбудить уголовный, статья, дело статья, следствие",6977,"Дурова не допрашивали в связи с расследованием по делу о возможном насилии в отношении его ребенка после задержания в Париже — ТАСС со ссылкой на прокуратуру Парижа || ⚡️
В Республике Алтай задержана местная жительница, которая участвовала  в деятельности запрещенной в РФ проукраинской террористической организации и собиралась уехать на Украину.
Женщина инициативно установила контакт с противником и выполняла для них задания в регионе. Кроме того, она собиралась выехать на территорию Украины для непосредственного участия в деятельности террористической структуры, однако она не успела покинуть РФ и была задержана.
В отношении неё возбуждено уголовное дело по ч. 2 ст. 205. 5 УК РФ (участие в деятельности террористической организации).
Несостоявшаяся украинская террористка помещена под стражу.
🎯
@opersvodki || Жалоб на здоровье от Навального* не поступало
— ОНК ЯНАО
*внесен в список экстремистов и террористов в РФ
ВПШ
🐍 || Суд арестовал третьего фигуранта дела о теракте в «Крокусе» Фаридуни на два месяца — до 22 мая
Ему 25 лет, он женат, есть восьмимесячный ребенок. Гражданин Таджикистана, работал на паркетной фабрике в Подольске, зарегистрирован в Красногорске. Единственный из четырех фигурантов знает русский язык и может общаться без помощи переводчика.
ВПШ
🐍 || Задержана бывший замминистра просвещения и вице-президент Сбербанка
Марина Ракова
.
В настоящий момент с ней работают следователи ГСУ ГУ МВД. По нашим данным, Ракова явилась в полицию сама.",NMF
NMF,1,"область, беспилотник, курский","область, беспилотник, курский, курский область, губернатор, пво, белгородский, бпнуть, украинский, уничтожить",6878,"Российские военные взяли под контроль населенные пункты Успеновка и Борки в Курской области — Минобороны России || Четыре беспилотника уничтожены ПВО на окраине Калуги, заявил губернатор Шапша || В Крыму
запретили иностранцам работать
в транспортной сфере, сельском хозяйстве и на производстве продуктов питания, торговле (кроме автомобилей), а также в образовании, IT, медиасфере, спорте, рекреации и других секторах
Также власти Новосибирской области
запретили мигрантам работать таксистами,
продавцами напитков и табака
Решение принято «для обеспечения безопасности жителей области и приоритетного трудоустройства россиян»
😏
Подписаться на VOBLYA || Минобороны России:
Ночью средствами ПВО двадцать пять реактивных снарядов РСЗО  RM-70 «Вампир» уничтожены над
Белгородской областью.
Два майора || Глава Дагестана Сергей Меликов предложил жителям республики перечислить однодневный заработок на помощь Курской области",NMF
NMF,9,"путин, президент, владимир","путин, президент, владимир, владимир путин, песок, брикс, кремль, встреча, выборы, переговоры",4463,"За уникальным перелетом на воздушном шаре «ФосАгро», который увенчался новым мировым рекордом, следили сотни тысяч людей по всей России. Но особенно переживали ребята из движения ДРОЗД. Они провожали отважных путешественников Федора Конюхова и Ивана Меняйло в дорогу в заполярном Кировске. И встречали рекордсменов в терминале Внуково, куда пилотов доставил специальный борт из Красноярского края. «Мы две ночи не спали, следили за вашим полетом, все очень переживали, держали за вас кулачки», - сказал один из юных «дроздят». Отметил этот факт в своей поздравительной телеграмме и президент Владимир Путин»: «…И конечно, важно, что свой рекорд член Русского географического общества Фёдор Конюхов посвятил 20-летию создания Всероссийского движения «Детям России – образование, здоровье и духовность».
ДРОЗД - ключевой социальный проект компании «ФосАгро», которая стала генеральным партнером экспедиции. Воспитанники ДРОЗДа бесплатно занимаются спортом и творчеством, участвуют в фестивалях и получают дополнительное образование, нравственное и патриотическое воспитание. Сейчас движение ДРОЗД охватывает 50 тысяч детей по всей России – тех, кто занимается по методикам движения на постоянной основе и тех, кто принимает участие в мероприятиях под его эгидой. || “Не хочу”: Так Песков ответил журналистам на просьбу прокомментировать видео, где сын Рамзана Кадырова избивает арестованного Никиту Журавеля. || Владимир
Путин встретился с Си Цзиньпином в Пекине
ТАСС
пишет
, что они обсудили «направления развития экономических отношений РФ и КНР». По
словам
Путина, уже 90% платежей между двумя странами проводятся в рублях и юанях, а перевод расчетов в нацвалюты «придал импульс расширению торговых потоков».
На встрече Си Цзиньпин
назвал
отношения РФ и КНР «эталоном сотрудничества». Китай «намерен как всегда быть с Россией добрыми соседями, доверительными друзьями и надежными партнерами», добавил председатель КНР.
———
Поездка Путина в Китай стала первым заграничным визитом президента России после переизбрания на пятый срок. Российская делегация, в которую входят Сергей Лавров, Сергей Шойгу, а также многие другие чиновники обновленного правительства России и бизнесмены, будет в Китае 16-17 мая.
———
Видео
: Кремль. || Эти (анонсированные) заявления Путина, без преувеличения, определят судьбу России — «Россия 24» со ссылкой на Пескова || Совет директоров издательского дома «Коммерсантъ» сообщает о назначении Михаила Лукина главным редактором газеты «Коммерсантъ» и шеф-редактором издательского дома с 1 июля 2024 г.
Владимир Желонкин, занимавший пост главного редактора с 2018 г., сохраняет пост генерального директора ИД.",NMF
NMF,6,"израиль, удар, израильский","израиль, удар, израильский, хамас, сектор, газ, сектор газ, ракета, иран, атака",2701,"Израильская армия объявила о ликвидации главы подразделения преветнивной безопасности «Хезболлы» Набиля Каука в результате авиаудара. || Украина под серьезным обстрелом.
Сразу несколько районов Одессы остались без света, после прилета по объекту энергетической инфраструктуры.
⚡️
Также сообщается о вылете не менее 8 ракетоносцев Ту-95 ВКС РФ
Суммарный залп всех бортов — 48 крылатых ракет
📢
Прямой эфир - подписаться || День России начался с мощного салюта в Киеве
Ночью были запуски ракет по Киеву, уничтожали промышленные объекты и инфраструктуру
Хохлы публикует кадры с места мощного прилета ракет и пожара на промышленном предприятии под Киевом. Пожар не утихает уже несколько часов, его пытаются остановить около 150 пожарных
😏
Подписаться на VOBLYA || ХАМАС захватил «большое количество» израильтян, среди них есть «старшие офицеры», — заявил телеканалу Al Jazeera замглавы ХАМАС Салех аль-Арури. Судя по ранее опубликованным видео, захвачены также женщины и дети. Предполагается, что заложников предложат обменять на членов ХАМАС, находящихся в израильских тюрьмах. Также эксперты называют это элементом давления на Израиль, чтобы тот не начал наземную операцию в Секторе Газа.
По последним данным, в ходе сегодняшних боевых действий в Израиле погибли по меньшей мере 100 человек, 900 пострадали, сообщают израильские СМИ.
Президент Израиля Ицхак Герцог заявил, что за атаками «Хамас» на страну стоит Иран.
В свою очередь МИД Ирана выступил с поздравлениями в адрес палестинской группировки «Хамас», атаковавшей утром 7 октября территорию Израиля.
«Сегодняшняя операция открыла новую страницу в области сопротивления и вооруженных операций против оккупантов на оккупированных территориях»
, — заявил представитель ведомства Нассер Канани.
В то же время Катар возложил на Израиль ответственность за эскалацию конфликта с Палестиной, при этом призвав все стороны прекратить эскалацию и проявлять максимальную сдержанность.
«Министерство иностранных дел [Катара] возлагает ответственность за нынешнюю эскалацию исключительно на Израиль, поскольку она обусловлена продолжающимися нарушениями прав палестинского народа»
, — говорится в заявлении ведомства в соцсети X (бывший твиттер). || Израиль не причастен к
гибели
президента Ирана Раиси,
заявил
агентству Reuters неназванный израильский чиновник
Иранские власти сделали это заявление на фоне обострения отношений с Ираном: в апреле авиация Израиля
нанесла удар
по консульству Ирана в Дамаске, в результате чего погибли не менее семи человек, а Иран в ответ
атаковал
Израиль с применением 120 баллистических и 30 крылатых ракет (почти все они были сбиты на дальних подступах).",NMF
